Ticker,Company,Segment,Exchange,Weighting (%)
SSE: 600362,Jiangxi Copper,Materials,Shanghai,0.114
SZSE: 000876,New Hope Liuhe,Consumer Staples,Shenzhen,0.113
SSE: 600183,Shengyi Technology,Information Technology,Shanghai,0.113
SSE: 601607,Shanghai Pharmaceuticals Holding,Health Care,Shanghai,0.113
SSE: 601799,Changzhou Xingyu Automotive Lighting Systems,Consumer Discretionary,Shanghai,0.113
SZSE: 301269,Empyrean Technology,Information Technology,Shenzhen,0.111
SSE: 601238,Guangzhou Automobile Group,Consumer Discretionary,Shanghai,0.111
SSE: 601878,ZHESHANG SECURITIES,Financials,Shanghai,0.111
SSE: 601998,China Citic Bank,Financials,Shanghai,0.111
SSE: 600918,Zhongtai Securities,Financials,Shanghai,0.109
SZSE: 300999,Yihai Kerry,Consumer Staples,Shenzhen,0.108
SZSE: 300223,Ingenic Semiconductor,Information Technology,Shenzhen,0.106
SSE: 603260,Hoshine Silicon Industry,Materials,Shanghai,0.105
SSE: 688303,XinJiang Daqo New Energy,Information Technology,Shanghai,0.105
SZSE: 300413,Mango Excellent Media,Communication,Shenzhen,0.104
SSE: 601615,MingYangSmartEnergyGroup,Industrials,Shanghai,0.104
SZSE: 002410,Glodon Software,Information Technology,Shenzhen,0.102
SSE: 600875,Dongfang Electric Corporation,Industrials,Shanghai,0.102
SZSE: 002603,Shijiazhuang Yiling Pharmaceutical,Health Care,Shenzhen,0.101
SSE: 600061,SDIC Essence,Financials,Shanghai,0.099
SSE: 688223,Jinko Solar,Information Technology,Shanghai,0.099
SSE: 600460,Hangzhou Silan Microelectronics,Information Technology,Shanghai,0.098
SSE: 600803,ENN Ecological Holdings,Utilities,Shanghai,0.098
SZSE: 300751,Suzhou Maxwell Technologies,Information Technology,Shenzhen,0.095
SSE: 600025,HuanengLancang River Hydropower,Utilities,Shanghai,0.094
SSE: 601319,People's Insurance Company of China,Financials,Shanghai,0.094
SZSE: 002841,Guangzhou Shiyuan Electronic Technology Company,Information Technology,Shenzhen,0.093
SSE: 600732,Shanghai Aiko Solar Energy,Information Technology,Shanghai,0.093
SSE: 603659,Shanghai Putailai New Energy Technology,Materials,Shanghai,0.09
SZSE: 300454,Sangfor Technologies,Information Technology,Shenzhen,0.089
SZSE: 300919,CNGR Advanced Material,Materials,Shenzhen,0.089
SSE: 600132,Chongqing Brewery,Consumer Staples,Shanghai,0.089
SZSE: 000617,CNPC Capital Company,Financials,Shenzhen,0.088
SZSE: 300763,Ginlong Technologies,Industrials,Shenzhen,0.088
