0,1
Operator,China Securities Index Company
Exchanges,Shanghai Stock ExchangeShenzhen Stock Exchange
Trading symbol,SSE: 000300SZSE: 399300
Constituents,300
Type,large to medium cap
Related indices,CSI 100 Index(sub-index)CSI 200 Index(sub-index)
CSI 100 Index,(sub-index)
CSI 200 Index,(sub-index)
Website,www.csindex.com.cn#/indices/family/detail?indexCode=000300
