0,1
China,SSE Composite SZSE Component SSE 50 Index SSE 180 Index CSI 100 Index CSI 300 Index SZSE 100 Index SZSE 200 Index SZSE 300 Index
India,BSE SENSEX NIFTY 50 NIFTY Next 50 NIFTY 500 GIFT Nifty
Japan,Nikkei 225 TOPIX S&P/TOPIX 150
South Korea,KOSPI KOSPI 200 KOSDAQ
Other,KASE (Kazakhstan) KSE (Kyrgyzstan) Tashkent (Uzbekistan) Hang Seng (Hong Kong) TAIEX (Taiwan) Moscow Exchange (Russia) KSE 100 (Pakistan) IDX Composite (Indonesia) Straits Times Index (Singapore) KLCI (Malaysia) PSEi (Philippines) SET Index (SET50/SET100) (Thailand) ASE Weighted (Jordan) DFM Index (Dubai) TASI (Saudi Arabia) TA-125 (Israel) TSE (Iran) BIST (Turkey)
