0,1
Energy,Amex Oil Index
Electronics,PHLX Semiconductor Sector TecDax
Metals,HUI Gold Index Philadelphia Gold and Silver Index
Real estate,CBV Real Estate Index
Water,Palisades Water Index
Other,Baltic Dry Index
