0,1
UK,FT 30 FTSE 100 Index FTSE 250 Index FTSE 350 Index FTSE SmallCap Index FTSE All-Share Index FTSE Fledgling Index FTSE AIM UK 50 Index FTSE AIM 100 Index
France,CAC 40 CAC Next 20 CAC Mid 60 CAC Small CAC All-Tradable SBF 120
Other,AEX ATX BEL 20 BUX DAX FTSE MIB IBEX 35 ISEQ 20 MOEX OBX OMXC25 OMXH25 OMXS30 PSI-20 PX RTSI SMI WIG20
