0,1
Foundation,26 February 1998
Operator,STOXX
Constituents,50
Type,Mega cap
Market cap,€4.011 trillion (Aug 2023)[1]
Weighting method,Free-float market capitalization
Related indices,STOXX Europe 50
Website,stoxx.com/..
