vteMajor North and South American stock market indices,vteMajor North and South American stock market indices.1
United States,Dow Jones Industrial Average Dow Jones Transportation Average Dow Jones Utility Average Nasdaq-100 Nasdaq Composite NYSE Arca Tech 100 Index NYSE Composite S&P 100 S&P 400 S&P 500 S&P 600 Russell 1000 Index Russell 2000 Index Russell 3000 Index Wilshire 5000
Canada,S&P/TSX 60 S&P/TSX Composite Index
Mexico,Indice de Precios y Cotizaciones
Colombia,COLCAP Indice General de la Bolsa de Valores de Colombia
Brazil,Índice Bovespa
Chile,Índice de Precios Selectivo de Acciones
Argentina,MERVAL
Peru,S&P/BVL Peru General Index
