0,1
US,Major Dow Jones Industrial Average NYSE Composite Nasdaq Composite Nasdaq-100 S&P 500 Russell 2000 Wilshire 5000 Other Dow Jones Transportation Average Dow Jones Utility Average NYSE Arca Tech 100 Index S&P 100 S&P 400 S&P 600 Russell 1000 Russell 3000
Major,Dow Jones Industrial Average NYSE Composite Nasdaq Composite Nasdaq-100 S&P 500 Russell 2000 Wilshire 5000
Other,Dow Jones Transportation Average Dow Jones Utility Average NYSE Arca Tech 100 Index S&P 100 S&P 400 S&P 600 Russell 1000 Russell 3000
Canada,S&P/TSX 60 S&P/TSX Composite Index
Other,Indice de Precios y Cotizaciones (Mexico) COLCAP (Colombia) Indice General de la Bolsa de Valores de Colombia (Colombia) Índice Bovespa (Brazil) Índice de Precio Selectivo de Acciones (Chile) MERVAL (Argentina) S&P/BVL Peru General Index (Peru)
