0,1
Equities,MSCI ACWI Index MSCI World S&P Global 100 S&P Global 1200 The Global Dow Dow Jones Global Titans 50 FTSE All-World index series OTCM QX ADR 30 Index
Commodities,Bloomberg Commodity Index S&P GSCI Deutsche Bank Liquid Commodity Index NCDEX Commodity Index Refinitiv Equal Weight Commodity Index Refinitiv/CoreCommodity CRB Index Rogers International Commodity Index Standard & Poor's Commodity Index
