0,1
Nasdaq-100 Index from 1985 to 2015,Nasdaq-100 Index from 1985 to 2015
Foundation,"January 31, 1985; 40 years ago"
Operator,"Nasdaq, Inc."
Exchanges,Nasdaq
Trading symbol,^NDX or NDX
Constituents,102
Type,Large-cap
Market cap,"US$25.34 trillion (as of May 1, 2025)"
Weighting method,Free-float capitalization-weighted
Related indices,Nasdaq Financial-100
Website,nasdaq.com/nasdaq-100
