0,1
,
,
Foundation,1 July 1988
Operator,"STOXX (Qontigo, Deutsche Börse)"
Exchanges,Frankfurt Stock Exchange
Constituents,40 (expanded from 30 in 2021)
Type,Large cap
Market cap,€1.891 trillion (March 2025)[1]
Weighting method,Capitalization-weighted
Related indices,"MDAX, SDAX, TecDAX"
Website,Official website
