0,1
Asia,S&P Asia 50
Europe,EURO STOXX 50 STOXX Europe 600 FTSEurofirst 300 Index FTSEurofirst Euro Supersector Indices S&P Europe 350 CECEEUR
Latin America,S&P Latin America 40
Other,MSCI EAFE MSCI GCC
