0,1
Major,Dow Jones Industrial Average NYSE Composite Nasdaq Composite Nasdaq-100 S&P 500 Russell 2000 Wilshire 5000
Other,Dow Jones Transportation Average Dow Jones Utility Average NYSE Arca Tech 100 Index S&P 100 S&P 400 S&P 600 Russell 1000 Russell 3000
