0,1
Foundation,1 January 1986 (39 years ago)
Operator,Asia Index
Exchanges,BSE
Trading symbol,^BSESN
Constituents,30
Type,Large cap
Market cap,₹151.78 lakh crore (US$1.8 trillion) (September 2024)[1]
Weighting method,Free-float market capitalisation
Related indices,BSE SENSEX 50BSE SENSEX Next 50
Website,bseindia.com
