0,1
Federal,Border Security Force (BSF) Central Industrial Security Force (CISF) Central Reserve Police Force (CRPF) Indo-Tibetan Border Police (ITBP) National Security Guard (NSG) Railway Protection Force (RPF) Sashastra Seema Bal (SSB) Special Protection Group (SPG)
Intelligence,Bureau of Police Research and Development (BPR&D) Central Bureau of Investigation (CBI) Directorate of Revenue Intelligence (DRI) Enforcement Directorate (ED) Intelligence Bureau (IB) Joint Intelligence Committee (JIC) Narcotics Control Bureau (NCB) National Investigation Agency (NIA) Research and Analysis Wing (R&AW)
