0,1
Overviews,Timeline Years Astronomy Clothing Coinage Economics LGBTQ Linguistics Maritime Mathematics Metallurgy Military Paper currency Postal Science and technology
Ancient,Stone Age Indus Valley Civilisation Vedic period Mahajanapadas Mauryas Indo-Greek Kingdom Achaemenid conquest of the Indus Valley Indo-Parthian kingdom Kushan Empire Alchon Huns Seleucid–Mauryan war
Middle Kingdoms,Middle kingdoms Chola
Middle Ages,Medieval India Hoysala Pala Kakatiya Delhi Sultanate Vijayanagara
Early Modern,Mughals Marathas European trade Bengal War
Late modern,Colonial Princely state East India Company Plassey 1857 rebellion British Raj Railways Economy Army Commander-in-Chief Zamindari Bengal Renaissance Political reforms Partition of Bengal Independence movement 1943 famine World War II Partition
Republic,Integration Non-Aligned Movement Five-Year Plans Sino-Indian War Indo-Pakistani wars Green Revolution White Revolution Naxal Insurgency Smiling Buddha Space programme The Emergency Indian Peace Keeping Force (IPKF)
Contemporary,History of India (1947–present) Economic liberalisation Pokhran-II COVID-19 pandemic
